Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = Bio
Var Index  3 = Pse
Var Index  4 = Dea

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Bulk
0,    1.000,  2,  2,   9.37440e-01,   9.41250e-01,   9.52730e-01,   9.71970e-01,   9.99120e-01,   2.04889e+00
0,    1.000,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-05
0,    1.000,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   3.09100e-02
0,    1.100,  1,  0,   8.02000e+00
0,    1.100,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.100,  2,  2,   1.01353e+00,   1.01705e+00,   1.02762e+00,   1.04534e+00,   1.07031e+00,   2.11576e+00
0,    1.100,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-05
0,    1.100,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.58000e-02
0,    1.200,  1,  0,   7.45000e+00
0,    1.200,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.200,  2,  2,   1.08526e+00,   1.08851e+00,   1.09827e+00,   1.11461e+00,   1.13764e+00,   2.17535e+00
0,    1.200,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-05
0,    1.200,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   2.18700e-02
0,    1.300,  1,  0,   6.96000e+00
0,    1.300,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.300,  2,  2,   1.15306e+00,   1.15607e+00,   1.16511e+00,   1.18022e+00,   1.20150e+00,   2.22915e+00
0,    1.300,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-05
0,    1.300,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.87900e-02
0,    1.400,  1,  0,   6.52000e+00
0,    1.400,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.400,  2,  2,   1.21736e+00,   1.22015e+00,   1.22854e+00,   1.24256e+00,   1.26228e+00,   2.27828e+00
0,    1.400,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-05
0,    1.400,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.63200e-02
0,    1.500,  1,  0,   6.14000e+00
0,    1.500,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.500,  2,  2,   1.27848e+00,   1.28107e+00,   1.28888e+00,   1.30192e+00,   1.32025e+00,   2.32355e+00
0,    1.500,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    1.500,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.43100e-02
0,    1.600,  1,  0,   5.80000e+00
0,    1.600,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.600,  2,  2,   1.33671e+00,   1.33913e+00,   1.34641e+00,   1.35857e+00,   1.37565e+00,   2.36557e+00
0,    1.600,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    1.600,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.26500e-02
0,    1.700,  1,  0,   5.49000e+00
0,    1.700,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.700,  2,  2,   1.39228e+00,   1.39455e+00,   1.40135e+00,   1.41271e+00,   1.42868e+00,   2.40482e+00
0,    1.700,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    1.700,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.12700e-02
0,    1.800,  1,  0,   5.22000e+00
0,    1.800,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.800,  2,  2,   1.44541e+00,   1.44754e+00,   1.45391e+00,   1.46456e+00,   1.47950e+00,   2.44167e+00
0,    1.800,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    1.800,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.01000e-02
0,    1.900,  1,  0,   4.97000e+00
0,    1.900,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    1.900,  2,  2,   1.49629e+00,   1.49828e+00,   1.50427e+00,   1.51426e+00,   1.52829e+00,   2.47640e+00
0,    1.900,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    1.900,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   9.11000e-03
0,    2.000,  1,  0,   4.75000e+00
0,    2.000,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.000,  2,  2,   1.54506e+00,   1.54694e+00,   1.55257e+00,   1.56197e+00,   1.57516e+00,   2.50926e+00
0,    2.000,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.000,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   8.25000e-03
0,    2.100,  1,  0,   4.54000e+00
0,    2.100,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.100,  2,  2,   1.59188e+00,   1.59365e+00,   1.59895e+00,   1.60781e+00,   1.62025e+00,   2.54044e+00
0,    2.100,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.100,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   7.51000e-03
0,    2.200,  1,  0,   4.35000e+00
0,    2.200,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.200,  2,  2,   1.63686e+00,   1.63853e+00,   1.64354e+00,   1.65191e+00,   1.66365e+00,   2.57011e+00
0,    2.200,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.200,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   6.87000e-03
0,    2.300,  1,  0,   4.18000e+00
0,    2.300,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.300,  2,  2,   1.68013e+00,   1.68171e+00,   1.68646e+00,   1.69437e+00,   1.70547e+00,   2.59839e+00
0,    2.300,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.300,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   6.31000e-03
0,    2.400,  1,  0,   4.02000e+00
0,    2.400,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.400,  2,  2,   1.72180e+00,   1.72329e+00,   1.72779e+00,   1.73528e+00,   1.74579e+00,   2.62542e+00
0,    2.400,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.400,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   5.81000e-03
0,    2.500,  1,  0,   3.87000e+00
0,    2.500,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.500,  2,  2,   1.76194e+00,   1.76336e+00,   1.76762e+00,   1.77474e+00,   1.78471e+00,   2.65129e+00
0,    2.500,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.500,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   5.37000e-03
0,    2.600,  1,  0,   3.73000e+00
0,    2.600,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.600,  2,  2,   1.80066e+00,   1.80201e+00,   1.80606e+00,   1.81282e+00,   1.82229e+00,   2.67608e+00
0,    2.600,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.600,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   4.97000e-03
0,    2.700,  1,  0,   3.60000e+00
0,    2.700,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.700,  2,  2,   1.83802e+00,   1.83931e+00,   1.84316e+00,   1.84959e+00,   1.85860e+00,   2.69989e+00
0,    2.700,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.700,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   4.62000e-03
0,    2.800,  1,  0,   3.48000e+00
0,    2.800,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.800,  2,  2,   1.87411e+00,   1.87533e+00,   1.87901e+00,   1.88513e+00,   1.89372e+00,   2.72277e+00
0,    2.800,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.800,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   4.31000e-03
0,    2.900,  1,  0,   3.37000e+00
0,    2.900,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    2.900,  2,  2,   1.90899e+00,   1.91016e+00,   1.91366e+00,   1.91950e+00,   1.92769e+00,   2.74479e+00
0,    2.900,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    2.900,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   4.03000e-03
0,    3.000,  1,  0,   3.26000e+00
0,    3.000,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.000,  2,  2,   1.94272e+00,   1.94384e+00,   1.94718e+00,   1.95276e+00,   1.96058e+00,   2.76600e+00
0,    3.000,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.000,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   3.77000e-03
0,    3.100,  1,  0,   3.16000e+00
0,    3.100,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.100,  2,  2,   1.97537e+00,   1.97643e+00,   1.97963e+00,   1.98496e+00,   1.99244e+00,   2.78645e+00
0,    3.100,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.100,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   3.54000e-03
0,    3.200,  1,  0,   3.07000e+00
0,    3.200,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.200,  2,  2,   2.00697e+00,   2.00799e+00,   2.01105e+00,   2.01616e+00,   2.02331e+00,   2.80619e+00
0,    3.200,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.200,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   3.32000e-03
0,    3.300,  1,  0,   2.98000e+00
0,    3.300,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    3.300,  2,  2,   2.03760e+00,   2.03857e+00,   2.04150e+00,   2.04640e+00,   2.05325e+00,   2.82527e+00
0,    3.300,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   0.00000e+00
0,    3.300,  3,  4,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   1.14000e-01,   3.13000e-03
0,    3.400,  1,  0,   2.90000e+00
0,    3.400,  2,  1,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
