Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = Live

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Grid  6,  Grid  7,  Grid  8,  Grid  9,  Grid  10,  Grid  11,  Grid  12,  Bulk
0,    1.000,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   4.12161e+01
0,    1.100,  1,  0,   1.87820e+02
0,    1.100,  2,  1,   8.61450e-01,   9.04470e-01,   1.03667e+00,   1.26733e+00,   1.61109e+00,   2.08675e+00,   2.71572e+00,   3.52037e+00,   4.52259e+00,   5.74263e+00,   7.19859e+00,   8.90609e+00,   1.41561e+01
0,    1.100,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   4.05013e+01
0,    1.200,  1,  0,   1.87280e+02
0,    1.200,  2,  1,   9.09940e-01,   9.54480e-01,   1.09127e+00,   1.32956e+00,   1.68393e+00,   2.17301e+00,   2.81792e+00,   3.64064e+00,   4.66254e+00,   5.90340e+00,   7.38079e+00,   9.10991e+00,   1.44417e+01
0,    1.200,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.99053e+01
0,    1.300,  1,  0,   1.87610e+02
0,    1.300,  2,  1,   9.29560e-01,   9.74960e-01,   1.11437e+00,   1.35714e+00,   1.71798e+00,   2.21563e+00,   2.87130e+00,   3.70698e+00,   4.74404e+00,   6.00216e+00,   7.49882e+00,   9.24912e+00,   1.46368e+01
0,    1.300,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.95455e+01
0,    1.400,  1,  0,   1.88120e+02
0,    1.400,  2,  1,   9.32500e-01,   9.78260e-01,   1.11876e+00,   1.36347e+00,   1.72725e+00,   2.22902e+00,   2.89019e+00,   3.73291e+00,   4.77867e+00,   6.04726e+00,   7.55622e+00,   9.32069e+00,   1.47373e+01
0,    1.400,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.93824e+01
0,    1.500,  1,  0,   1.88520e+02
0,    1.500,  2,  1,   9.28810e-01,   9.74630e-01,   1.11534e+00,   1.36049e+00,   1.72503e+00,   2.22806e+00,   2.89113e+00,   3.73655e+00,   4.78595e+00,   6.05926e+00,   7.57410e+00,   9.34570e+00,   1.47726e+01
0,    1.500,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.93389e+01
0,    1.600,  1,  0,   1.88750e+02
0,    1.600,  2,  1,   9.24150e-01,   9.69910e-01,   1.11047e+00,   1.35539e+00,   1.71972e+00,   2.22262e+00,   2.88573e+00,   3.73149e+00,   4.78162e+00,   6.05613e+00,   7.57273e+00,   9.34671e+00,   1.47743e+01
0,    1.600,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.93499e+01
0,    1.700,  1,  0,   1.88850e+02
0,    1.700,  2,  1,   9.20720e-01,   9.66400e-01,   1.10673e+00,   1.35130e+00,   1.71515e+00,   2.21749e+00,   2.88002e+00,   3.72522e+00,   4.77486e+00,   6.04900e+00,   7.56541e+00,   9.33939e+00,   1.47641e+01
0,    1.700,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.93753e+01
0,    1.800,  1,  0,   1.88870e+02
0,    1.800,  2,  1,   9.18840e-01,   9.64470e-01,   1.10462e+00,   1.34889e+00,   1.71234e+00,   2.21418e+00,   2.87611e+00,   3.72063e+00,   4.76954e+00,   6.04291e+00,   7.55853e+00,   9.33172e+00,   1.47535e+01
0,    1.800,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.93971e+01
0,    1.900,  1,  0,   1.88860e+02
0,    1.900,  2,  1,   9.18100e-01,   9.63690e-01,   1.10375e+00,   1.34785e+00,   1.71105e+00,   2.21257e+00,   2.87409e+00,   3.71812e+00,   4.76646e+00,   6.03919e+00,   7.55408e+00,   9.32649e+00,   1.47461e+01
0,    1.900,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94104e+01
0,    2.000,  1,  0,   1.88840e+02
0,    2.000,  2,  1,   9.17980e-01,   9.63560e-01,   1.10358e+00,   1.34761e+00,   1.71070e+00,   2.21206e+00,   2.87338e+00,   3.71714e+00,   4.76516e+00,   6.03749e+00,   7.55193e+00,   9.32380e+00,   1.47424e+01
0,    2.000,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94165e+01
0,    2.100,  1,  0,   1.88830e+02
0,    2.100,  2,  1,   9.18110e-01,   9.63690e-01,   1.10369e+00,   1.34771e+00,   1.71077e+00,   2.21208e+00,   2.87333e+00,   3.71700e+00,   4.76487e+00,   6.03703e+00,   7.55125e+00,   9.32286e+00,   1.47410e+01
0,    2.100,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94181e+01
0,    2.200,  1,  0,   1.88820e+02
0,    2.200,  2,  1,   9.18280e-01,   9.63860e-01,   1.10387e+00,   1.34789e+00,   1.71096e+00,   2.21228e+00,   2.87352e+00,   3.71718e+00,   4.76503e+00,   6.03714e+00,   7.55129e+00,   9.32281e+00,   1.47410e+01
0,    2.200,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94178e+01
0,    2.300,  1,  0,   1.88820e+02
0,    2.300,  2,  1,   9.18410e-01,   9.63990e-01,   1.10401e+00,   1.34804e+00,   1.71113e+00,   2.21247e+00,   2.87373e+00,   3.71741e+00,   4.76527e+00,   6.03739e+00,   7.55155e+00,   9.32307e+00,   1.47413e+01
0,    2.300,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94168e+01
0,    2.400,  1,  0,   1.88810e+02
0,    2.400,  2,  1,   9.18480e-01,   9.64060e-01,   1.10409e+00,   1.34813e+00,   1.71124e+00,   2.21259e+00,   2.87388e+00,   3.71757e+00,   4.76547e+00,   6.03762e+00,   7.55181e+00,   9.32335e+00,   1.47417e+01
0,    2.400,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94160e+01
0,    2.500,  1,  0,   1.88820e+02
0,    2.500,  2,  1,   9.18510e-01,   9.64090e-01,   1.10412e+00,   1.34817e+00,   1.71128e+00,   2.21265e+00,   2.87395e+00,   3.71767e+00,   4.76558e+00,   6.03776e+00,   7.55197e+00,   9.32354e+00,   1.47420e+01
0,    2.500,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94155e+01
0,    2.600,  1,  0,   1.88820e+02
0,    2.600,  2,  1,   9.18510e-01,   9.64090e-01,   1.10413e+00,   1.34818e+00,   1.71130e+00,   2.21267e+00,   2.87398e+00,   3.71770e+00,   4.76563e+00,   6.03782e+00,   7.55205e+00,   9.32364e+00,   1.47421e+01
0,    2.600,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94153e+01
0,    2.700,  1,  0,   1.88820e+02
0,    2.700,  2,  1,   9.18510e-01,   9.64090e-01,   1.10412e+00,   1.34818e+00,   1.71129e+00,   2.21267e+00,   2.87398e+00,   3.71771e+00,   4.76564e+00,   6.03784e+00,   7.55208e+00,   9.32368e+00,   1.47422e+01
0,    2.700,  3,  2,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   8.00000e-02,   3.94153e+01
0,    2.800,  1,  0,   1.88820e+02
