Var = 1 means Lf  Var = 2 means subs  Var = 3 means pars
Lf in microns, subs and pars in mg/l
Var Index  0 = Lf
Var Index  1 = Glu
Var Index  2 = H2O2
Var Index  3 = Dead
Var Index  4 = Pse

Unit,  Time,  Var,  Var Index,  Grid  1,  Grid  2,  Grid  3,  Grid  4,  Grid  5,  Grid  6,  Grid  7,  Grid  8,  Grid  9,  Bulk
0,    0.060,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   5.19480e-01
0,    0.070,  1,  0,   6.94000e+01
0,    0.070,  2,  1,   1.71871e+01,   1.72250e+01,   1.73386e+01,   1.75280e+01,   1.77934e+01,   1.81348e+01,   1.85524e+01,   1.90466e+01,   1.96174e+01,   1.99135e+01
0,    0.070,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.070,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   6.71000e-03
0,    0.070,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   6.35590e-01
0,    0.080,  1,  0,   7.32900e+01
0,    0.080,  2,  1,   1.82631e+01,   1.83057e+01,   1.84333e+01,   1.86462e+01,   1.89444e+01,   1.93280e+01,   1.97973e+01,   2.03525e+01,   2.09938e+01,   2.13089e+01
0,    0.080,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.080,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   7.90000e-03
0,    0.080,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.63580e-01
0,    0.090,  1,  0,   7.73800e+01
0,    0.090,  2,  1,   1.90560e+01,   1.91037e+01,   1.92467e+01,   1.94852e+01,   1.98193e+01,   2.02491e+01,   2.07749e+01,   2.13970e+01,   2.21157e+01,   2.24501e+01
0,    0.090,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.090,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   9.18000e-03
0,    0.090,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   9.04880e-01
0,    0.100,  1,  0,   8.16800e+01
0,    0.100,  2,  1,   1.95839e+01,   1.96372e+01,   1.97970e+01,   2.00635e+01,   2.04368e+01,   2.09172e+01,   2.15049e+01,   2.22002e+01,   2.30035e+01,   2.33576e+01
0,    0.100,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.100,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.05700e-02
0,    0.100,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   1.06090e+00
0,    0.110,  1,  0,   8.61600e+01
0,    0.110,  2,  1,   1.98625e+01,   1.99218e+01,   2.01000e+01,   2.03971e+01,   2.08132e+01,   2.13487e+01,   2.20039e+01,   2.27792e+01,   2.36750e+01,   2.40493e+01
0,    0.110,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.110,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.20800e-02
0,    0.110,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   1.23317e+00
0,    0.120,  1,  0,   9.08400e+01
0,    0.120,  2,  1,   1.99059e+01,   1.99719e+01,   2.01700e+01,   2.05003e+01,   2.09630e+01,   2.15586e+01,   2.22873e+01,   2.31496e+01,   2.41461e+01,   2.45410e+01
0,    0.120,  2,  2,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00,   0.00000e+00
0,    0.120,  3,  3,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.00000e-03,   1.37400e-02
0,    0.120,  3,  4,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   7.90000e-02,   1.42329e+00
